"X","participant_id","exp_trial_type","block_n","trial_n","trial_index","time_elapsed","partner_id","object","label","object_choices","object_selected","score","rt","condition","pair_id","key_feature","predicted"
237,"p002","director",1,37,165,635311,"p050","diamond_pink","diamond","","",NA,1721.40000009537,"random_associations","p002-p050","pink",NA
239,"p002","director",1,39,172,648519,"p050","cross_red","cross","","",NA,1449.29999995232,"random_associations","p002-p050","red",NA
241,"p002","director",1,41,179,662748,"p050","circle_grey","circle","","",NA,1818.90000009537,"random_associations","p002-p050","grey",NA
243,"p002","director",1,43,186,675350,"p050","cross_red","cross","","",NA,1250.5,"random_associations","p002-p050","red",NA
245,"p002","director",1,45,193,688911,"p050","pentagon_grey","pentagon","","",NA,1213.29999995232,"random_associations","p002-p050","grey",NA
247,"p002","director",1,47,200,703511,"p050","diamond_grey","diamond","","",NA,1782.09999990463,"random_associations","p002-p050","grey",NA
249,"p002","director",1,49,207,717689,"p050","pentagon_grey","pentagon","","",NA,1794.70000004768,"random_associations","p002-p050","grey",NA
251,"p002","director",1,51,214,731511,"p050","cross_pink","cross","","",NA,1234.70000004768,"random_associations","p002-p050","pink",NA
253,"p002","director",1,53,221,746295,"p050","diamond_grey","diamond","","",NA,1849.89999985695,"random_associations","p002-p050","grey",NA
255,"p002","director",1,55,228,759065,"p050","circle_pink","circle","","",NA,1401.39999985695,"random_associations","p002-p050","pink",NA
257,"p002","director",1,57,235,775353,"p050","circle_yellow","circle","","",NA,1372,"random_associations","p002-p050","yellow",NA
259,"p002","director",1,59,242,789007,"p050","pentagon_grey","pentagon","","",NA,1430.5,"random_associations","p002-p050","grey",NA
261,"p002","director",1,61,249,802400,"p050","diamond_red","diamond","","",NA,1993.70000004768,"random_associations","p002-p050","red",NA
263,"p002","director",1,63,256,816516,"p050","cross_grey","cross","","",NA,1755.89999985695,"random_associations","p002-p050","grey",NA
265,"p002","director",1,65,263,830128,"p050","diamond_grey","diamond","","",NA,1770.89999985695,"random_associations","p002-p050","grey",NA
267,"p002","director",1,67,270,843227,"p050","pentagon_red","pentagon","","",NA,1646.20000004768,"random_associations","p002-p050","red",NA
269,"p002","director",1,69,277,856812,"p050","circle_red","circle","","",NA,1390.30000019073,"random_associations","p002-p050","red",NA
271,"p002","director",1,71,284,870222,"p050","cross_grey","cross","","",NA,1472.39999985695,"random_associations","p002-p050","grey",NA
273,"p002","director",2,73,293,895027,"p050","splat_yellow","cross","","",NA,4205.29999995232,"random_associations","p002-p050","yellow",0
275,"p002","director",2,75,300,925301,"p050","splat_grey","cross","","",NA,5279.79999995232,"random_associations","p002-p050","grey",0
277,"p002","director",2,77,307,943349,"p050","splat_pink","cross","","",NA,1603.39999985695,"random_associations","p002-p050","pink",1
279,"p002","director",2,79,314,965536,"p050","splat_red","circle","","",NA,6095,"random_associations","p002-p050","red",1
281,"p002","director",2,81,321,985775,"p050","splat_grey","diamond","","",NA,1532.89999985695,"random_associations","p002-p050","grey",0
283,"p002","director",2,83,328,1007220,"p050","splat_pink","pentagon","","",NA,1999.40000009537,"random_associations","p002-p050","pink",0
285,"p002","director",2,85,335,1027851,"p050","splat_yellow","pentagon","","",NA,4082.89999985695,"random_associations","p002-p050","yellow",0
287,"p002","director",2,87,342,1042650,"p050","splat_red","cross","","",NA,1412.89999985695,"random_associations","p002-p050","red",0
289,"p002","director",2,89,349,1059291,"p050","splat_red","cross","","",NA,1344.40000009537,"random_associations","p002-p050","red",0
291,"p002","director",2,91,356,1079794,"p050","splat_pink","circle","","",NA,4227.69999980927,"random_associations","p002-p050","pink",0
293,"p002","director",2,93,363,1098879,"p050","splat_grey","cross","","",NA,1721.09999990463,"random_associations","p002-p050","grey",0
295,"p002","director",2,95,370,1113029,"p050","splat_yellow","pentagon","","",NA,1800.5,"random_associations","p002-p050","yellow",0
297,"p002","director",2,97,377,1132802,"p050","splat_yellow","pentagon","","",NA,1848.5,"random_associations","p002-p050","yellow",0
299,"p002","director",2,99,384,1153296,"p050","splat_grey","diamond","","",NA,3060.09999990463,"random_associations","p002-p050","grey",0
301,"p002","director",2,101,391,1173658,"p050","splat_red","cross","","",NA,1256.10000014305,"random_associations","p002-p050","red",0
303,"p002","director",2,103,398,1192226,"p050","splat_pink","circle","","",NA,4263.39999985695,"random_associations","p002-p050","pink",0
305,"p002","director",3,105,405,1211018,"p050","circle_yellow","circle","","",NA,2068.80000019073,"random_associations","p002-p050","yellow",0
307,"p002","director",3,107,412,1236844,"p050","cross_red","cross","","",NA,4915.79999995232,"random_associations","p002-p050","red",1
309,"p002","director",3,109,419,1261577,"p050","cross_grey","pentagon","","",NA,5450.59999990463,"random_associations","p002-p050","grey",0
311,"p002","director",3,111,426,1284110,"p050","pentagon_pink","circle","","",NA,3214.59999990463,"random_associations","p002-p050","pink",0
313,"p002","director",3,113,433,1302685,"p050","diamond_yellow","pentagon","","",NA,3854.5,"random_associations","p002-p050","yellow",1
315,"p002","director",3,115,440,1318521,"p050","cross_pink","pentagon","","",NA,2545,"random_associations","p002-p050","pink",1
317,"p002","director",3,117,447,1339608,"p050","pentagon_red","cross","","",NA,4123.70000004768,"random_associations","p002-p050","red",1
319,"p002","director",3,119,454,1357832,"p050","diamond_grey","diamond","","",NA,4275.39999985695,"random_associations","p002-p050","grey",0
321,"p002","director",3,121,461,1377515,"p050","cross_pink","pentagon","","",NA,2886.29999995232,"random_associations","p002-p050","pink",1
323,"p002","director",3,123,468,1394115,"p050","diamond_grey","diamond","","",NA,2454.20000004768,"random_associations","p002-p050","grey",0
325,"p002","director",3,125,475,1413717,"p050","pentagon_yellow","diamond","","",NA,4233,"random_associations","p002-p050","yellow",0
327,"p002","director",3,127,482,1434075,"p050","cross_red","cross","","",NA,1756.39999985695,"random_associations","p002-p050","red",1
329,"p002","director",3,129,489,1455325,"p050","diamond_pink","pentagon","","",NA,1919.19999980927,"random_associations","p002-p050","pink",1
331,"p002","director",3,131,496,1475654,"p050","circle_grey","diamond","","",NA,2698.5,"random_associations","p002-p050","grey",0
